Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
51.1,4/21/2026 10:50:31 AM,7375,109.9,0.112,92.9,0.1941,0.5327,1.575,0,0,0,100,16.28,0.2566,404,200,1,0,0.2841,1,1,1,1,1,1,1,4,4,-1,[ OK ]
51.7,4/21/2026 10:50:32 AM,7375,109.9,0.1159,93.79,0.371,0.5318,1.565,0,0,0,100,16.28,0.2564,403.9,200,1,0,0.3,1,1,1,1,1,1,1,4,4,-1,[ OK ]
52.2,4/21/2026 10:50:32 AM,7376,109.9,0.1193,95.38,0.3723,0.5304,1.564,0,0,0,100,16.28,0.257,404.4,200,1,0,0.3104,1,1,1,1,1,1,1,4,4,-1,[ OK ]
52.8,4/21/2026 10:50:33 AM,7376,109.9,0.1231,97.8,0.376,0.5298,1.553,0,0,0,100,16.28,0.2566,404.1,200,1,0,0.3175,1,1,1,1,1,1,1,4,4,-1,[ OK ]
53.4,4/21/2026 10:50:34 AM,7377,109.9,0.1263,100.1,0.3775,0.5286,1.553,0,0,0,100,16.28,0.2566,404.2,200,1,0,0.3026,1,1,1,1,1,1,1,4,4,-1,[ OK ]
54.2,4/21/2026 10:50:34 AM,7378,109.9,0.1295,103.1,0.379,0.5278,1.547,0,0,0,100,16.28,0.2556,404,200,1,0,0.3237,1,1,1,1,1,1,1,4,4,-1,[ OK ]
54.8,4/21/2026 10:50:35 AM,7378,109.9,0.1319,104.7,0.3845,0.5276,1.539,0,0,0,100,16.28,0.2542,404.4,200,1,0,0.3251,1,1,1,1,1,1,1,4,4,-1,[ OK ]
55.4,4/21/2026 10:50:36 AM,7379,109.9,0.1337,107.4,0.3799,0.527,1.537,0,0,0,100,16.28,0.2577,404.4,200,1,0,0.3283,1,1,1,1,1,1,1,4,4,-1,[ OK ]
56.0,4/21/2026 10:50:36 AM,7380,109.9,0.1354,109.2,0.3918,0.5261,1.541,0,0,0,100,16.28,0.2552,404.1,200,1,0,0.339,1,1,1,1,1,1,1,4,4,-1,[ OK ]
56.5,4/21/2026 10:50:37 AM,7380,109.9,0.1368,109.9,0.3844,0.5266,1.532,0,0,0,100,16.28,0.2562,404.3,200,1,0,0.3308,1,1,1,1,1,1,1,4,4,-1,[ OK ]
57.0,4/21/2026 10:50:37 AM,7381,109.9,0.1379,111.2,0.3828,0.5255,1.539,0,0,0,100,16.28,0.2566,404.4,200,1,0,0.3302,1,1,1,1,1,1,1,4,4,-1,[ OK ]
57.7,4/21/2026 10:50:38 AM,7381,109.9,0.1392,112,0.3799,0.5258,1.533,0,0,0,100,16.28,0.2567,404.1,200,1,0,0.3449,1,1,1,1,1,1,1,4,4,-1,[ OK ]
58.2,4/21/2026 10:50:39 AM,7382,109.9,0.1396,114.1,0.3918,0.5253,1.537,0,0,0,100,16.28,0.2563,404.1,200,1,0,0.3326,1,1,1,1,1,1,1,4,4,-1,[ OK ]
58.7,4/21/2026 10:50:39 AM,7382,109.9,0.1406,114.1,0.3918,0.5254,1.533,0,0,0,100,16.28,0.2555,404.4,200,1,0,0.3316,1,1,1,1,1,1,1,4,4,-1,[ OK ]
59.1,4/21/2026 10:50:39 AM,7383,109.9,0.1412,114.2,0.3918,0.5259,1.525,0,0,0,100,16.28,0.2552,404.1,200,1,0,0.3358,1,1,1,1,1,1,1,4,4,-1,[ OK ]
59.7,4/21/2026 10:50:40 AM,7383,109.9,0.1418,115,0.383,0.5245,1.539,0,0,0,100,16.28,0.254,404,200,1,0,0.3518,1,1,1,1,1,1,1,4,4,-1,[ OK ]
60.1,4/21/2026 10:50:40 AM,7384,109.9,0.1421,115.9,0.3918,0.5249,1.534,0,0,0,100,16.28,0.257,404.4,200,1,0,0.3294,1,1,1,1,1,1,1,4,4,-1,[ OK ]
60.6,4/21/2026 10:50:41 AM,7384,109.9,0.1427,115.8,0.3798,0.5254,1.526,0,0,0,100,16.28,0.2543,404.1,200,1,0,0.351,1,1,1,1,1,1,1,4,4,-1,[ OK ]
61.0,4/21/2026 10:50:41 AM,7385,109.9,0.1431,116.1,0.3812,0.5249,1.531,0,0,0,100,16.28,0.2566,404.4,200,1,0,0.3452,1,1,1,1,1,1,1,4,4,-1,[ OK ]
61.4,4/21/2026 10:50:42 AM,7385,109.9,0.1434,116.7,0.3918,0.5244,1.535,0,0,0,100,16.28,0.2537,404,200,1,0,0.332,1,1,1,1,1,1,1,4,4,-1,[ OK ]
61.8,4/21/2026 10:50:42 AM,7385,109.9,0.1437,116.8,0.3918,0.5249,1.53,0,0,0,100,16.28,0.255,404.3,200,1,0,0.3329,1,1,1,1,1,1,1,4,4,-1,[ OK ]
62.3,4/21/2026 10:50:43 AM,7386,109.9,0.1441,116.9,0.3837,0.5253,1.524,0,0,0,100,16.28,0.2552,404.1,200,1,0,0.3366,1,1,1,1,1,1,1,4,4,-1,[ OK ]
62.7,4/21/2026 10:50:43 AM,7386,109.9,0.144,118.1,0.3838,0.5249,1.528,0,0,0,100,16.28,0.2533,404,200,1,0,0.3342,1,1,1,1,1,1,1,4,4,-1,[ OK ]
